dim	coefficient
535	0.0013469601
536	0.0014215494
537	0.001211854
538	0.0014133905
539	0.0014108465
540	0.0012055405
541	0.0013021225
542	0.0014386892
543	0.0013823074
544	0.0014874523
545	0.0014935838
546	0.0013270484
547	0.0011553003
548	0.001494668
549	0.001358597
550	0.001173827
551	0.0013788285
552	0.0013925927
553	0.001257223
554	0.0012885538
555	0.0012469887
556	0.0012967634
557	0.0012083363
558	0.0012695784
559	0.0011578408
560	0.0014183413
561	0.0013073431
562	0.0014579095
563	0.0015062375
564	0.00129303
565	0.0014383233
566	0.0012355219
567	0.0012525722
568	0.0012338404
569	0.0013575733
570	0.0012459692
571	0.0013368176
572	0.0013106164
573	0.0013709943
574	0.0012628783
575	0.0013038394
576	0.0012595765
577	0.0013026422
578	0.0013163551
579	0.0012947083
580	0.0014428826
581	0.0013868234
582	0.0014325766
583	0.0011058222
584	0.0013074974
585	0.0013935015
586	0.0013218087
587	0.0012475272
588	0.0012476612
589	0.0012460776
590	0.0013836776
591	0.001178014
592	0.0012225065
593	0.0012809787
594	0.0013462144
595	0.0012233952
596	0.0013281554
597	0.0012281607
598	0.0012143924
599	0.0011584996
600	0.0013024607
601	0.0014148626
602	0.0013343693
603	0.0013550755
604	0.0014060043
605	0.0012860602
606	0.0013302459
607	0.0012199736
608	0.0012435535
609	0.0012980858
610	0.001212017
611	0.0013222857
612	0.0012788393
613	0.0011823325
614	0.0011087205
615	0.0012755488
616	0.0013324026
617	0.0013745222
618	0.0012283779
619	0.0012006367
620	0.0014014174
621	0.0013708845
622	0.0013821699
623	0.0014596903
624	0.0013579882
625	0.001244472
626	0.0012101847
627	0.0012446067
628	0.0011589149
629	0.0013028828
630	0.0011686693
631	0.0011872583
632	0.0014932142
633	0.001322065
634	0.0011901764
635	0.0013803497
636	0.0012697161
637	0.0012266757
638	0.0013658787
639	0.0012919314
640	0.0010315746
641	0.0013553991
642	0.0011846602
643	0.0011345791
644	0.0012748516
645	0.0012633516
646	0.0013574805
647	0.0013911291
648	0.0012852148
649	0.0011577902
650	0.0013435858
651	0.001146939
652	0.0012984943
653	0.0011824332
654	0.0014201112
655	0.0013077985
656	0.0013342084
657	0.0014193323
658	0.0011148165
659	0.0013603979
660	0.0012566876
661	0.001465454
662	0.0015982324
663	0.0013893542
664	0.001304804
665	0.0011819408
666	0.001442017
667	0.001187278
668	0.0011889588
669	0.0012750156
670	0.0014185497
671	0.0012881861
672	0.0014812696
673	0.0012839563
674	0.0011644843
675	0.0013932135
676	0.0012146946
677	0.0011972997
678	0.0012776315
679	0.0014191556
680	0.0013092784
681	0.0013071536
682	0.0010321364
683	0.0013667368
684	0.0016387476
685	0.0013397735
686	0.0011126124
687	0.0014403529
688	0.001279484
689	0.0013836349
690	0.001178562
691	0.0013385434
692	0.0013195471
693	0.0013687116
694	0.0012534083
695	0.0013103125
696	0.0014934458
697	0.0012107616
698	0.001356663
699	0.0013026571
700	0.0013579522
701	0.0014692764
702	0.0012412446
703	0.0012524937
704	0.001271165
705	0.0013639263
706	0.0013551881
707	0.0013823706
708	0.0012016403
709	0.0012868786
710	0.0011650021
711	0.0011101958
712	0.0013580268
713	0.001294536
714	0.0010540175
715	0.0013690017
716	0.0014533697
717	0.0012401497
718	0.0015679944
719	0.0012144567
720	0.00094937277
721	0.0012698257
722	0.0013380287
723	0.0013283074
724	0.0012671592
725	0.0012502552
726	0.0012456441
727	0.0012563359
728	0.0012078426
729	0.0012781529
730	0.0012874935
731	0.0014277088
732	0.0012224874
733	0.001348018
734	0.001256265
735	0.0013390405
736	0.0013550486
737	0.0012686306
738	0.0014515275
739	0.0014639563
740	0.0012705533
741	0.0012826939
742	0.0011669494
743	0.0014020122
744	0.0012389689
745	0.001301996
746	0.0014213382
747	0.0012226604
748	0.0012114935
749	0.0012947894
750	0.0013430484
751	0.0011792888
752	0.0013910428
753	0.0013685003
754	0.0011194538
755	0.0012962724
756	0.0014373346
757	0.0014599691
758	0.0010846376
759	0.0012629561
760	0.0012813981
761	0.0012338344
762	0.0012676725
763	0.001476822
764	0.0012361729
765	0.0013437443
766	0.0013611835
767	0.0014381561
